customer_id,first_name,last_name,date_of_birth,ssn_last4,email,phone_number,mailing_city,mailing_state,mailing_zip,customer_segment,employment_status,source_updated_at,source_system,change_reason
CUST-100020,Kristin,Rodriguez,1998-03-07,1519,kristin.rodriguez390@yahoo.com,337-543-3036,Joshualand,WI,37086,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100021,Michael,Hicks,1987-01-03,1584,michael.hicks368@hotmail.com,501-429-4019,Reedmouth,NE,79958,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100022,Tracey,Wilson,1999-10-08,5635,tracey.wilson619@gmail.com,406-088-3561,Cindyville,VA,39864,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100023,William,Estrada,1966-07-07,4333,william.estrada827@hotmail.com,482-366-2994,Kelleytown,ME,38107,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100024,Jason,Floyd,1982-10-13,0711,jason.floyd748@yahoo.com,777-387-2148,Clarencebury,TX,41188,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100025,Jeffrey,Gonzalez,1949-01-04,7527,jeffrey.gonzalez550@gmail.com,791-769-3676,East Diana,AL,98931,Private Bank,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100026,Michelle,Mcclure,1992-09-28,2045,michelle.mcclure997@gmail.com,287-083-1727,Stephaniemouth,RI,94777,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100027,Patricia,Simmons,2000-03-11,6201,patricia.simmons81@yahoo.com,277-434-8734,Jonesport,IA,36115,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100028,Matthew,Orozco,1952-04-08,9044,matthew.orozco301@gmail.com,362-316-6587,Brownchester,MS,77057,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100029,Sophia,Smith,1998-09-03,5925,sophia.smith592@hotmail.com,670-546-6889,South Jeffrey,NE,64155,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100030,Anthony,Rogers,1986-12-26,3150,anthony.rogers722@yahoo.com,272-980-6990,Lake Roymouth,HI,07091,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100031,Jorge,Murphy,1973-12-19,1139,jorge.murphy47@yahoo.com,646-417-0805,Lake Casey,SD,05777,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100032,Karen,Herring,1959-02-27,3733,karen.herring792@gmail.com,923-271-9374,Garyville,WI,21966,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100033,Tami,Rodriguez,1949-01-30,4741,tami.rodriguez82@yahoo.com,966-319-3149,Port Tonyaton,MI,70328,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100034,Ross,Wood,1976-12-09,3814,ross.wood888@yahoo.com,067-165-7262,Christinaside,WI,63873,Mass,Unemployed,2025-01-01,CRM,INITIAL_LOAD
CUST-100035,Steven,Petersen,1981-12-16,1654,steven.petersen390@yahoo.com,314-737-9965,South Melissaburgh,NM,28303,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100036,Michael,Green,1963-10-25,4554,michael.green465@hotmail.com,480-831-3678,Lake Thomas,VT,64833,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100037,Shane,Smith,1964-08-29,5977,shane.smith167@yahoo.com,349-578-8568,Michaelmouth,KY,40690,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100038,John,Martinez,1958-10-06,6065,john.martinez364@gmail.com,823-374-9894,Port Jamesbury,MN,24020,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100039,Kevin,Erickson,1954-12-08,3432,kevin.erickson687@gmail.com,084-271-0947,Alexanderburgh,AR,33593,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100040,Shelley,Woods,1995-04-12,4374,shelley.woods719@yahoo.com,719-022-9413,New Kathybury,WI,68995,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100041,Omar,Kerr,1964-11-03,1169,omar.kerr624@hotmail.com,649-909-1334,East Johnside,CA,21018,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100042,Aaron,Hayes,1982-01-13,2803,aaron.hayes547@yahoo.com,034-471-3493,Wilsonbury,SD,20029,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100043,Rebekah,Serrano,1951-09-26,4010,rebekah.serrano168@gmail.com,499-471-7464,Kimton,FM,57127,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100044,Jessica,Munoz,1949-02-03,7573,jessica.munoz389@gmail.com,990-490-2787,Howardshire,NE,83703,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100045,Lisa,Costa,1974-11-09,4422,lisa.costa948@yahoo.com,551-256-7468,South Christopherview,MD,15695,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100046,Tara,Powell,1977-06-10,9125,tara.powell225@gmail.com,876-038-5977,East Josephberg,LA,57925,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100047,Nicole,Washington,1949-04-08,5313,nicole.washington864@hotmail.com,932-480-8613,South Staceyberg,NM,94427,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100048,Kelly,Thornton,1971-09-11,0916,kelly.thornton235@yahoo.com,737-826-3982,West Kendrachester,MA,67051,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100049,Joseph,Smith,1989-09-15,0525,joseph.smith825@hotmail.com,972-787-5588,Gibsonmouth,VI,25228,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100050,Tina,Allen,1969-10-22,5168,tina.allen411@yahoo.com,057-662-7028,Mollymouth,CT,69438,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100051,Renee,Smith,1955-12-15,4386,renee.smith68@hotmail.com,217-459-6158,Finleyfort,VI,71413,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100052,Barry,Jones,1984-03-15,3456,barry.jones936@yahoo.com,316-117-2400,Lauraport,MI,49632,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100053,Ryan,Sanchez,1971-06-30,9292,ryan.sanchez898@hotmail.com,222-196-9379,East Steven,KS,60737,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100054,Jonathan,Smith,1994-04-07,5155,jonathan.smith218@yahoo.com,821-759-4647,Jamesfurt,PR,63836,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100055,Daniel,James,1968-05-31,8179,daniel.james406@yahoo.com,406-409-0974,New Laurie,IN,83943,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100056,James,King,1991-06-02,7517,james.king147@hotmail.com,210-470-9521,Markchester,HI,26819,Affluent,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100057,David,Ryan,2003-12-11,4339,david.ryan143@hotmail.com,842-474-5171,Port Tammy,VI,89148,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100058,Jennifer,Whitney,2003-09-12,4040,jennifer.whitney763@hotmail.com,516-048-1754,Carsonstad,CT,88953,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100059,Jesus,Johnson,1998-11-18,9197,jesus.johnson552@hotmail.com,593-174-6120,West Wendyville,CT,31276,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100060,Paige,Taylor,1973-11-27,4304,paige.taylor765@hotmail.com,869-261-7964,Lake Mitchellmouth,NV,31448,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100061,Melissa,Garcia,1987-05-14,9577,melissa.garcia439@hotmail.com,506-431-7139,North Kristinbury,DC,74501,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100062,Jamie,Gallegos,1979-09-27,9560,jamie.gallegos409@hotmail.com,335-290-4228,Laurenville,TN,03880,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100063,David,Howard,1993-04-28,5930,david.howard225@hotmail.com,502-402-6811,Weststad,NY,78313,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100064,Daniel,Gordon,2002-06-06,2266,daniel.gordon522@gmail.com,847-007-6617,Jonesland,MD,80231,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100065,Eddie,Martinez,1983-10-22,8085,eddie.martinez94@hotmail.com,856-984-7896,Port Jacquelineside,VA,28684,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100066,Russell,Beasley,1971-08-06,0771,russell.beasley882@yahoo.com,661-565-4527,North Marieland,NE,13157,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100067,Julie,Watson,1955-02-21,1796,julie.watson157@gmail.com,988-516-5604,Michaelshire,NY,28385,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100068,Eric,Olson,1996-09-26,2621,eric.olson812@yahoo.com,851-493-6899,New Sarahview,AK,24148,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100069,Joshua,Farmer,2001-01-16,6916,joshua.farmer611@yahoo.com,022-961-2018,South Robert,MA,21132,Mass,Unemployed,2025-01-01,CRM,INITIAL_LOAD
CUST-100070,Mitchell,Griffith,1992-08-26,1040,mitchell.griffith395@hotmail.com,910-229-0147,Tuckermouth,MT,36305,Private Bank,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100071,Jason,Hunt,1967-08-13,6252,jason.hunt611@gmail.com,497-840-3690,East Kevinborough,WI,18488,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100072,Kathryn,Roberts,1954-07-21,7668,kathryn.roberts542@yahoo.com,622-683-8851,Hensleyton,NE,02957,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100073,Steve,Miller,1965-10-02,4119,steve.miller995@yahoo.com,966-416-0529,Collierstad,CO,57741,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100074,Megan,Sanchez,1981-10-01,9064,megan.sanchez882@hotmail.com,164-535-2181,Port Michael,VA,85100,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100075,Lisa,Young,1956-02-02,0188,lisa.young697@gmail.com,292-127-7997,Michellemouth,FL,58141,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100076,Carlos,Ramos,1965-02-27,1876,carlos.ramos699@yahoo.com,905-814-7700,Marieland,SD,12336,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100077,Christina,Hunter,1974-06-07,8797,christina.hunter769@hotmail.com,079-359-7820,Garciamouth,VT,11554,Private Bank,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100078,William,Thompson,1961-12-18,4371,william.thompson788@yahoo.com,788-925-5466,Erikaton,WY,83192,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100079,Deborah,Jones,1953-01-28,5573,deborah.jones115@hotmail.com,644-925-1925,Tammyfurt,DC,78494,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100080,Jeanne,Miller,1980-01-05,4808,jeanne.miller446@hotmail.com,528-168-5054,East Matthew,WI,64237,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100081,James,Cooke,1956-07-31,2591,james.cooke465@yahoo.com,188-805-9296,East Henry,UT,82386,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100082,Lisa,Martin,1972-12-24,0053,lisa.martin977@yahoo.com,537-947-3834,Mckeeborough,MN,89408,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100083,Stacey,Joyce,1974-05-16,4315,stacey.joyce996@yahoo.com,688-623-9240,Sawyerside,CT,93745,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100084,Meghan,Rosales,1964-02-17,8201,meghan.rosales781@gmail.com,478-261-3750,Brownhaven,MN,31404,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100085,Paul,Miller,1960-08-13,2927,paul.miller520@yahoo.com,152-204-7277,North Andrewborough,MP,20098,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100086,Ana,Acosta,1978-03-16,1743,ana.acosta892@gmail.com,434-103-6971,Port Rebeccaside,AK,83332,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100087,Zachary,Allen,1955-12-03,4889,zachary.allen862@yahoo.com,095-396-2185,New Amyhaven,OH,03166,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100088,Peter,Harrison,1984-06-18,8317,peter.harrison624@yahoo.com,405-153-1952,West Amyburgh,MP,90243,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100089,Steven,Dominguez,1984-03-27,3258,steven.dominguez157@gmail.com,170-430-3054,Haysside,NJ,33703,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100090,Benjamin,Lucas,1964-03-10,6126,benjamin.lucas781@gmail.com,541-566-7652,Holtstad,AS,68563,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100091,Joseph,Miller,1972-03-20,2646,joseph.miller553@yahoo.com,928-451-1544,Morrisonchester,GA,90909,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100092,Scott,West,1989-10-01,8689,scott.west941@yahoo.com,964-016-5820,Port Cathy,WY,57933,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100093,Austin,Jones,1992-09-30,0009,austin.jones614@yahoo.com,569-092-7557,New Devinstad,MO,41708,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100094,Debra,Wright,1954-03-05,5310,debra.wright501@hotmail.com,278-681-4473,Heatherfort,ID,16575,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100095,Derek,Jones,1957-08-10,0319,derek.jones115@hotmail.com,715-518-8442,Port Michael,IN,16408,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100096,Tracie,Conner,1961-04-29,5947,tracie.conner900@yahoo.com,058-957-8291,West Raymondfort,NC,54344,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100097,Kayla,Morrow,1951-11-15,5038,kayla.morrow246@yahoo.com,177-852-8922,Shawton,MP,16775,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100098,April,Torres,1956-12-27,0949,april.torres247@hotmail.com,358-414-3842,Christinaland,NY,84516,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100099,Gary,David,1956-07-15,9295,gary.david970@hotmail.com,995-900-1094,Port Ashley,RI,84254,Affluent,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100100,Anthony,Small,1979-03-29,1290,anthony.small88@hotmail.com,473-647-1027,Washingtonborough,MA,80017,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100101,Douglas,Hensley,1966-02-11,7962,douglas.hensley836@yahoo.com,625-881-5371,Shannonberg,CT,07133,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100102,Kelly,Cruz,1983-04-15,1133,kelly.cruz779@gmail.com,259-532-7877,Tylerland,MO,66750,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100103,Stephen,Allen,1981-06-06,8727,stephen.allen785@gmail.com,047-974-8016,West Jessica,WV,53356,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100104,Michael,Morales,1980-09-02,2060,michael.morales132@gmail.com,584-168-7849,East Theresafurt,MN,44945,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100105,Angela,Diaz,1955-12-18,7787,angela.diaz970@hotmail.com,868-000-2578,Hernandezhaven,DC,43488,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100106,Sarah,Flores,1970-05-21,9007,sarah.flores170@hotmail.com,495-888-7947,West Markville,MT,77008,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100107,Kyle,Roach,1998-03-06,4342,kyle.roach541@hotmail.com,097-499-3097,New Cristina,RI,50333,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100108,Dylan,Becker,1949-06-04,9938,dylan.becker434@hotmail.com,130-756-2636,Salaston,VT,18599,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100109,April,Hoffman,2005-06-27,3470,april.hoffman952@yahoo.com,865-278-5854,Leebury,KY,73650,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100110,Kenneth,David,2004-07-26,8835,kenneth.david774@yahoo.com,375-758-4419,Huangfurt,GU,45738,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100111,Stephanie,Ballard,1964-06-10,3295,stephanie.ballard731@yahoo.com,157-473-3848,Derrickshire,IA,32280,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100112,Brent,Stein,1960-09-06,5107,brent.stein409@gmail.com,016-571-2082,Delgadofort,NJ,85768,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100113,James,Maynard,1966-03-22,6118,james.maynard449@hotmail.com,019-380-2620,Frenchburgh,WA,38442,Private Bank,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100114,Nancy,Smith,1980-07-15,8479,nancy.smith463@gmail.com,547-887-2874,Port Daniel,GA,96330,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100115,Stephen,Scott,1958-05-24,1982,stephen.scott254@hotmail.com,549-329-6685,South Elizabethburgh,DC,63081,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100116,Marcus,Wright,1962-09-20,3681,marcus.wright66@gmail.com,745-499-0453,Lake Davidport,GA,53639,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100117,Gina,Leblanc,1999-02-02,5539,gina.leblanc22@yahoo.com,145-933-2727,Robertside,PW,62213,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100118,Katherine,Pham,1995-06-25,9638,katherine.pham568@gmail.com,918-785-1910,New Amanda,GA,43508,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100119,Melissa,Ramos,1987-01-20,3770,melissa.ramos603@hotmail.com,971-870-7286,Elliottside,NH,88682,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100120,Lindsay,Cummings,1970-07-24,3608,lindsay.cummings8@gmail.com,391-065-1801,Johnsonchester,HI,18251,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100121,Katie,Good,1985-01-20,1163,katie.good725@yahoo.com,567-661-8251,New Phillip,DC,95902,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100122,Tiffany,Davenport,1991-06-15,0964,tiffany.davenport235@yahoo.com,786-863-3752,Jacobville,AZ,87034,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100123,Robert,Miranda,1998-11-08,1104,robert.miranda928@gmail.com,331-190-7903,South Scottside,IL,99379,Mass,Unemployed,2025-01-01,CRM,INITIAL_LOAD
CUST-100124,Michelle,Brown,1976-10-27,0514,michelle.brown881@yahoo.com,395-995-3428,South Kevin,AR,73471,Private Bank,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100125,Stacy,Hobbs,2000-06-19,5413,stacy.hobbs73@hotmail.com,687-056-8566,West Nicholas,WV,71008,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100126,Thomas,Atkinson,1965-01-14,8423,thomas.atkinson244@hotmail.com,270-866-8826,West James,SD,10864,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100127,Sandra,Boone,1952-12-15,4562,sandra.boone686@hotmail.com,304-699-0139,South Jason,PW,44143,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100128,Kevin,Stout,1959-11-18,7953,kevin.stout220@gmail.com,173-936-3854,Owensstad,ME,34784,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100129,Michael,Andrade,1974-08-16,8834,michael.andrade136@hotmail.com,753-556-0932,West Angelashire,OR,94874,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100130,Robert,Hernandez,1966-09-23,9355,robert.hernandez591@yahoo.com,937-854-7772,Garyside,NM,24624,Mass,Unemployed,2025-01-01,CRM,INITIAL_LOAD
CUST-100131,Sabrina,Weaver,1984-10-26,7744,sabrina.weaver249@gmail.com,801-006-2312,East Williamstad,AR,81481,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100132,Dana,Peck,2000-07-14,7749,dana.peck827@hotmail.com,700-886-0084,Andrechester,AS,23997,Affluent,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100133,Daniel,Davis,1956-03-25,6669,daniel.davis195@gmail.com,984-546-1567,Lake Jeremiah,TX,11067,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100134,Desiree,Garrison,1991-08-26,1545,desiree.garrison100@gmail.com,666-870-0217,Newmanmouth,OK,13000,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100135,Patricia,Ellison,1960-12-02,7062,patricia.ellison363@hotmail.com,974-014-8902,Alexisborough,OR,19400,Affluent,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100136,Karen,Marquez,1970-09-11,6939,karen.marquez421@gmail.com,429-396-8562,New Juliestad,AR,13304,Affluent,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100137,Samuel,Roberson,1967-05-08,7651,samuel.roberson885@hotmail.com,965-047-7358,Reynoldsshire,TN,50317,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100138,Christopher,Montgomery,1993-11-18,0887,christopher.montgomery690@hotmail.com,114-262-6551,North Sherrymouth,MN,35859,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100139,Curtis,Miller,1972-08-04,1612,curtis.miller63@hotmail.com,886-101-5819,Michelletown,LA,54739,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100140,Paul,Miller,1999-11-11,6596,paul.miller746@gmail.com,982-622-4447,North Gary,KY,55695,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100141,Kevin,Patton,1968-07-16,5559,kevin.patton820@gmail.com,799-371-2406,Meaganfurt,AS,43694,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100142,Scott,Jordan,1995-05-12,1790,scott.jordan255@hotmail.com,924-593-7526,Kellyfort,OK,32276,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100143,Mark,Ramirez,1993-03-05,3139,mark.ramirez195@yahoo.com,193-982-8073,Salinasland,GU,54128,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100144,Emily,Taylor,1965-02-27,8786,emily.taylor460@yahoo.com,266-179-7968,Stephensstad,UT,70874,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100145,Brittney,Rocha,1953-12-08,2296,brittney.rocha433@gmail.com,529-096-5610,West Jeffreyhaven,OH,76590,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100146,Gwendolyn,Walker,1969-04-17,3006,gwendolyn.walker286@yahoo.com,982-507-1461,Port Sheliaberg,MI,41381,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100147,Matthew,Mueller,1977-10-26,7579,matthew.mueller256@yahoo.com,717-751-4010,Deborahburgh,WA,32471,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100148,Zachary,Arnold,1966-10-17,1235,zachary.arnold454@yahoo.com,736-226-6093,Vargasfurt,AL,92872,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100149,Jason,Ramirez,1988-05-31,9016,jason.ramirez101@gmail.com,918-255-3714,Rosemouth,PA,51440,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
