COLLECTOR_ID,COLLECTOR_NAME,TEAM_NAME
COL-1100,Jackson Gregory,Early Stage 1-29
COL-1101,Guy Hudson,Recovery
COL-1102,Corey Thomas,Mid Stage 30-59
COL-1103,Michael Davis,Mid Stage 30-59
COL-1104,Anita Hall,Early Stage 1-29
COL-1105,Matthew Ross,Mid Stage 30-59
COL-1106,Bryan Elliott,Late Stage 90+
COL-1107,Adrian Moore,Late Stage 60-89
COL-1108,Amber Garza,Late Stage 90+
COL-1109,Anthony Cantrell,Late Stage 60-89
COL-1110,Jordan Garrett,Late Stage 90+
COL-1111,Dr. Jacob Phillips,Early Stage 1-29
COL-1112,Stephanie Watson,Recovery
COL-1113,Mrs. Leah Bird,Late Stage 90+
COL-1114,Sierra Macias,Early Stage 1-29
COL-1115,Clarence Jackson,Mid Stage 30-59
COL-1116,Anthony Brown,Early Stage 1-29
COL-1117,Lauren Howard,Late Stage 60-89
COL-1118,Laura Moore,Mid Stage 30-59
COL-1119,Katrina Garcia,Late Stage 60-89
